dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
G.1 SSS Number of students by subject (Literature in English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),xNrNoKd4AUw,HllvX50cXC0,13,7120450,2026-02-08T02:20:17.585+0000,,FALSE,null
G.1 SSS Number of students by subject (Literature in English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uznb34kXUt9,HllvX50cXC0,3,7120450,2026-02-08T02:20:22.875+0000,,FALSE,null
G.1 SSS Number of students by subject (Biology),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bWARvKXLx4J,HllvX50cXC0,11,7120450,2026-02-08T02:21:08.139+0000,,FALSE,null
G.1 SSS Number of students by subject (Biology),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),KLukqORbIU5,HllvX50cXC0,11,7120450,2026-02-08T02:21:13.705+0000,,FALSE,null
G.1 SSS Number of students by subject (Biology),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),xNrNoKd4AUw,HllvX50cXC0,9,7120450,2026-02-08T02:21:15.599+0000,,FALSE,null
G.1 SSS Number of students by subject (Biology),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uznb34kXUt9,HllvX50cXC0,11,7120450,2026-02-10T14:53:30.454+0000,,FALSE,null
G.1 SSS Number of students by subject (Physics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bWARvKXLx4J,HllvX50cXC0,12,7120450,2026-02-08T02:21:26.310+0000,,FALSE,null
G.1 SSS Number of students by subject (Physics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),KLukqORbIU5,HllvX50cXC0,11,7120450,2026-02-08T02:21:28.278+0000,,FALSE,null
G.1 SSS Number of students by subject (Physics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),xNrNoKd4AUw,HllvX50cXC0,10,7120450,2026-02-08T02:21:33.499+0000,,FALSE,null
G.1 SSS Number of students by subject (Physics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uznb34kXUt9,HllvX50cXC0,10,7120450,2026-02-08T02:21:36.939+0000,,FALSE,null
G.1 SSS Number of students by subject (Chemistry),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bWARvKXLx4J,HllvX50cXC0,12,7120450,2026-02-08T02:21:43.465+0000,,FALSE,null
G.1 SSS Number of students by subject (Chemistry),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),KLukqORbIU5,HllvX50cXC0,11,7120450,2026-02-08T02:21:45.926+0000,,FALSE,null
G.1 SSS Number of students by subject (Chemistry),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),xNrNoKd4AUw,HllvX50cXC0,10,7120450,2026-02-08T02:21:48.930+0000,,FALSE,null
G.1 SSS Number of students by subject (Chemistry),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uznb34kXUt9,HllvX50cXC0,10,7120450,2026-02-08T02:21:55.064+0000,,FALSE,null
G.1 SSS Number of students by subject (Geography),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bWARvKXLx4J,HllvX50cXC0,23,7120450,2026-02-08T02:22:58.288+0000,,FALSE,null
G.1 SSS Number of students by subject (Geography),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),KLukqORbIU5,HllvX50cXC0,19,7120450,2026-02-08T02:23:05.405+0000,,FALSE,null
G.1 SSS Number of students by subject (Geography),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),xNrNoKd4AUw,HllvX50cXC0,19,7120450,2026-02-08T02:23:07.969+0000,,FALSE,null
G.1 SSS Number of students by subject (Geography),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uznb34kXUt9,HllvX50cXC0,9,7120450,2026-02-08T02:23:12.471+0000,,FALSE,null
G.1 SSS Number of students by subject (Economics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bWARvKXLx4J,HllvX50cXC0,23,7120450,2026-02-08T02:23:15.951+0000,,FALSE,null
G.1 SSS Number of students by subject (Economics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),KLukqORbIU5,HllvX50cXC0,19,7120450,2026-02-08T02:23:18.261+0000,,FALSE,null
G.1 SSS Number of students by subject (Economics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),xNrNoKd4AUw,HllvX50cXC0,21,7120450,2026-02-08T02:23:20.201+0000,,FALSE,null
G.1 SSS Number of students by subject (Economics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uznb34kXUt9,HllvX50cXC0,10,7120450,2026-02-08T02:24:19.133+0000,,FALSE,null
H.1 SSS Number of students core subject textbooks (Mathematics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bbt6ww3563u,HllvX50cXC0,2,7120450,2026-02-08T02:24:57.487+0000,,FALSE,null
H.1 SSS Number of students core subject textbooks (Mathematics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),zIQzw27dEeB,HllvX50cXC0,2,7120450,2026-02-08T02:24:58.666+0000,,FALSE,null
H.1 SSS Number of students core subject textbooks (Mathematics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),G0Nki9tsoJ5,HllvX50cXC0,2,7120450,2026-02-08T02:25:00.446+0000,,FALSE,null
H.1 SSS Number of students core subject textbooks (Civic Education),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bbt6ww3563u,HllvX50cXC0,3,7120450,2026-02-08T02:25:23.456+0000,,FALSE,null
H.1 SSS Number of students core subject textbooks (Civic Education),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),zIQzw27dEeB,HllvX50cXC0,3,7120450,2026-02-08T02:25:24.294+0000,,FALSE,null
H.1 SSS Number of students core subject textbooks (Civic Education),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),G0Nki9tsoJ5,HllvX50cXC0,3,7120450,2026-02-08T02:25:50.677+0000,,FALSE,null
H.2. Number of core subject Teachers’ Textbooks (English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),fcdKcl4qWwM,HllvX50cXC0,3,7120450,2026-02-08T02:25:52.555+0000,,FALSE,null
H.2. Number of core subject Teachers’ Textbooks (English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),Ey8Q89tL3Mu,HllvX50cXC0,3,7120450,2026-02-08T02:25:54.020+0000,,FALSE,null
H.2. Number of core subject Teachers’ Textbooks (English),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bUbEEhTXblz,HllvX50cXC0,3,7120450,2026-02-08T02:25:55.370+0000,,FALSE,null
H.2. Number of core subject Teachers’ Textbooks (Mathematics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),fcdKcl4qWwM,HllvX50cXC0,2,7120450,2026-02-08T02:25:56.725+0000,,FALSE,null
H.2. Number of core subject Teachers’ Textbooks (Mathematics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),Ey8Q89tL3Mu,HllvX50cXC0,2,7120450,2026-02-08T02:25:58.054+0000,,FALSE,null
H.2. Number of core subject Teachers’ Textbooks (Mathematics),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bUbEEhTXblz,HllvX50cXC0,2,7120450,2026-02-08T02:25:59.544+0000,,FALSE,null
H.2. Number of core subject Teachers’ Textbooks (Biology),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),fcdKcl4qWwM,HllvX50cXC0,2,7120450,2026-02-08T02:26:00.972+0000,,FALSE,null
H.2. Number of core subject Teachers’ Textbooks (Biology),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),Ey8Q89tL3Mu,HllvX50cXC0,2,7120450,2026-02-08T02:26:06.245+0000,,FALSE,null
H.2. Number of core subject Teachers’ Textbooks (Biology),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bUbEEhTXblz,HllvX50cXC0,2,7120450,2026-02-08T02:26:03.384+0000,,FALSE,null
H.1. Number of students core subject textbooks (Biology),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),bbt6ww3563u,HllvX50cXC0,3,7120450,2026-02-08T02:25:06.835+0000,,FALSE,null
H.1. Number of students core subject textbooks (Biology),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),zIQzw27dEeB,HllvX50cXC0,3,7120450,2026-02-08T02:25:08.131+0000,,FALSE,null
H.1. Number of students core subject textbooks (Biology),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),G0Nki9tsoJ5,HllvX50cXC0,3,7120450,2026-02-08T02:25:09.401+0000,,FALSE,null
F.8 SSS Seating Available (SS1),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uHWWe3gJBbA,HllvX50cXC0,22,7120450,2026-02-08T02:18:58.134+0000,,FALSE,null
F.8 SSS Seating Available (SS2),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uHWWe3gJBbA,HllvX50cXC0,20,7120450,2026-02-08T02:19:01.154+0000,,FALSE,null
F.8 SSS Seating Available (SS3),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),uHWWe3gJBbA,HllvX50cXC0,15,7120450,2026-02-08T02:19:29.872+0000,,FALSE,null
"J.4a SSS If yes, indicate which of these topics were covered in the FLHE programme_Teaching on generic life skills (e.g. decision-making, communication, refusal skills)",2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,0,7120450,2026-02-08T02:32:10.443+0000,,FALSE,null
"J.4b SSS If yes, indicate which of these topics were covered in the FLHE programme_Teaching on reproductive health/FLHE (e.g. teaching on human growth and development, family life, sexual abuse and transmission of STIs)",2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T02:32:19.340+0000,,FALSE,null
J.1a SSS Physical safety in school,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T02:28:48.167+0000,,FALSE,null
"J.1b SSS Stigma and discrimination towards staff or pupils/living with/affected by HIV, or based on sex, race or ethnicity, religion or any other grounds, sexual harassment and abuse.",2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T02:30:42.515+0000,,FALSE,null
J.1c SSS Grievance/disciplinary procedures in case of breach of the regulations described in the rules and guidelines.,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T02:31:35.757+0000,,FALSE,null
"J.4c SSS If yes, indicate which of these topics were covered in the FLHE programme_Teaching on HIV transmission and prevention",2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T02:32:22.175+0000,,FALSE,null
J.6a SSS How many times have your school organised orientation programme for parents or guardians of pupils regarding FLHE programmes in the previous academic year?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,2,7120450,2026-02-08T02:34:38.748+0000,,FALSE,null
"J.2 SSS Has your school communicated information about the rules, regulations and guidelines to relevant stakeholders such as pupils, parents, teachers etc?",2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T02:31:41.404+0000,,FALSE,null
J.5 SSS Number of students that received/participated in Life Skills-based Family Life HIV/AIDS Education (FLHE) in the previous year?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),PYvBlCs4DQ8,HllvX50cXC0,2,7120450,2026-02-08T02:33:12.879+0000,,FALSE,null
J.5 SSS Number of students that received/participated in Life Skills-based Family Life HIV/AIDS Education (FLHE) in the previous year?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),J4rmGvAZO06,HllvX50cXC0,2,7120450,2026-02-08T02:33:17.427+0000,,FALSE,null
J.6b SSS At what forums were the orientation programmes provided?_PTA,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T02:36:05.806+0000,,FALSE,null
J.7 SSS When was the last orientation Programme on FLHE conducted?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,28/11/2025,7120450,2026-02-08T02:38:03.162+0000,,FALSE,null
J.3 SSS Life Skills-based Family Life HIV/AIDS Education (FLHE),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T02:32:03.885+0000,,FALSE,null
J.9 SSS How many teachers in your school who received formal training in the previous year also taught related topics on FLHE?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),J4rmGvAZO06,HllvX50cXC0,2,7120450,2026-02-08T02:38:44.811+0000,,FALSE,null
J.8 SSS How many teachers in your school received formal training on FLHE?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),PYvBlCs4DQ8,HllvX50cXC0,5,7120450,2026-04-29T12:24:17.000+0000,,FALSE,null
J.8 SSS How many teachers in your school received formal training on FLHE?,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),J4rmGvAZO06,HllvX50cXC0,2,7120450,2026-02-08T02:38:31.367+0000,,FALSE,null
